Timestamp,RPM,Speed_kmh,IAT_C,Fuel_LPH
2025-09-14 15:28:19.120,2024,9,60,6.84
2025-09-14 15:28:19.647,2378,20,60,12.61
2025-09-14 15:28:20.171,2746,30,60,15.9
2025-09-14 15:28:20.720,4410,42,60,21.46
2025-09-14 15:28:21.215,5305,44,60,24.59
2025-09-14 15:28:21.735,5655,46,61,14.3
2025-09-14 15:28:22.289,4432,52,61,26.82
2025-09-14 15:28:22.839,3913,59,62,21.32
2025-09-14 15:28:23.381,4255,66,62,22.32
2025-09-14 15:28:23.906,4673,71,62,23.79
2025-09-14 15:28:24.432,5071,76,63,24.84
2025-09-14 15:28:24.952,5361,80,63,25.44
2025-09-14 15:28:25.521,5674,85,64,25.84
2025-09-14 15:28:26.043,5994,87,65,12.1
2025-09-14 15:28:26.592,6151,91,65,35.38
2025-09-14 15:28:27.108,3859,95,66,21.84
2025-09-14 15:28:27.651,4085,99,66,19.42
2025-09-14 15:28:28.180,4190,98,66,19.42
2025-09-14 15:28:28.699,4190,93,66,3.16
2025-09-14 15:28:29.250,3600,89,66,2.63
2025-09-14 15:28:29.806,3600,83,66,2.63
2025-09-14 15:28:30.345,2728,78,66,2.63
2025-09-14 15:28:30.892,2228,73,66,1.46
2025-09-14 15:28:31.408,1734,68,66,1.18
2025-09-14 15:28:31.955,1400,63,66,0.92
2025-09-14 15:28:32.465,1137,58,66,0.74
2025-09-14 15:28:33.014,999,54,66,1.18
2025-09-14 15:28:33.566,944,49,66,0.83
2025-09-14 15:28:34.096,930,46,66,0.87
2025-09-14 15:28:34.654,921,42,65,0.86
2025-09-14 15:28:35.187,920,38,65,0.88
2025-09-14 15:28:35.726,919,33,65,0.88
2025-09-14 15:28:36.256,930,31,65,0.89
2025-09-14 15:28:36.774,927,30,65,0.87
2025-09-14 15:28:37.298,925,30,65,0.86
2025-09-14 15:28:37.858,927,29,65,0.87
2025-09-14 15:28:38.401,928,29,65,0.84
2025-09-14 15:28:38.934,920,29,65,0.84
2025-09-14 15:28:39.426,933,28,65,0.85
2025-09-14 15:28:39.938,918,28,65,0.81
2025-09-14 15:28:40.458,923,27,65,0.84
2025-09-14 15:28:40.970,913,27,65,0.85
2025-09-14 15:28:41.495,909,25,65,0.85
2025-09-14 15:28:42.031,911,23,65,0.9
2025-09-14 15:28:42.574,914,23,65,0.88
2025-09-14 15:28:43.078,891,20,65,0.94
2025-09-14 15:28:43.613,911,19,65,0.94
2025-09-14 15:28:44.105,917,17,65,0.95
2025-09-14 15:28:44.637,933,16,65,0.97
2025-09-14 15:28:45.184,915,13,65,0.9
2025-09-14 15:28:45.756,875,11,65,0.91
2025-09-14 15:28:46.272,850,10,65,0.88
2025-09-14 15:28:46.805,841,9,65,0.87
2025-09-14 15:28:47.325,831,8,65,0.86
2025-09-14 15:28:47.879,860,7,65,0.87
2025-09-14 15:28:48.441,913,5,64,0.92
2025-09-14 15:28:48.939,917,3,64,0.88
2025-09-14 15:28:49.424,924,1,64,0.87
2025-09-14 15:28:49.949,929,0,64,0.85
2025-09-14 15:28:50.474,925,0,64,0.84
2025-09-14 15:28:51.037,929,0,64,0.85
2025-09-14 15:28:51.571,929,0,64,0.82
2025-09-14 15:28:52.115,924,0,64,0.82
2025-09-14 15:28:52.649,891,0,64,0.81
2025-09-14 15:28:53.174,917,0,64,0.84
2025-09-14 15:28:53.751,911,0,64,0.85
2025-09-14 15:28:54.264,920,0,64,0.86
2025-09-14 15:28:54.776,907,0,64,0.87
2025-09-14 15:28:55.294,902,0,64,0.87
2025-09-14 15:28:55.834,912,0,64,0.9
2025-09-14 15:28:56.374,915,0,64,0.9
2025-09-14 15:28:56.911,930,0,64,0.89
2025-09-14 15:28:57.441,932,0,64,0.9
2025-09-14 15:28:57.946,928,0,64,0.87
2025-09-14 15:28:58.520,930,0,64,0.87
2025-09-14 15:28:59.062,920,0,64,0.84
2025-09-14 15:28:59.597,926,0,64,0.84
2025-09-14 15:29:00.138,922,0,64,0.84
2025-09-14 15:29:00.687,922,0,64,0.84
2025-09-14 15:29:01.204,924,0,64,0.82
2025-09-14 15:29:01.760,921,0,64,0.82
2025-09-14 15:29:02.308,918,0,64,0.81
