Timestamp,RPM,Speed_kmh,IAT_C,Fuel_LPH
2025-09-14 17:16:20.050,3736,4,25,0.0
2025-09-14 17:16:20.148,3617,5,25,0.0
2025-09-14 17:16:20.245,3617,6,25,0.0
2025-09-14 17:16:20.375,3859,10,25,0.0
2025-09-14 17:16:20.474,4250,16,25,0.0
2025-09-14 17:16:20.561,4250,16,25,0.0
2025-09-14 17:16:20.648,4250,36,25,0.0
2025-09-14 17:16:20.789,4302,36,25,0.0
2025-09-14 17:16:20.875,4475,36,25,0.0
2025-09-14 17:16:20.960,4475,35,25,0.0
2025-09-14 17:16:21.042,4141,32,25,0.0
2025-09-14 17:16:21.156,4141,31,25,0.0
2025-09-14 17:16:21.245,4141,31,25,0.0
2025-09-14 17:16:21.357,4201,35,25,0.0
2025-09-14 17:16:21.442,4201,35,25,0.0
2025-09-14 17:16:21.542,4226,33,25,0.0
2025-09-14 17:16:21.633,4226,34,25,0.0
2025-09-14 17:16:21.728,4564,35,25,0.0
2025-09-14 17:16:21.819,4564,37,25,0.0
2025-09-14 17:16:21.909,4788,36,25,0.0
2025-09-14 17:16:21.999,4788,38,25,0.0
2025-09-14 17:16:22.090,4934,39,25,0.0
2025-09-14 17:16:22.177,4934,40,25,0.0
2025-09-14 17:16:22.269,5121,41,25,0.0
2025-09-14 17:16:22.361,5121,42,25,0.0
2025-09-14 17:16:22.443,5121,44,25,0.0
2025-09-14 17:16:22.541,5446,44,25,0.0
2025-09-14 17:16:22.642,5446,46,25,0.0
2025-09-14 17:16:22.762,5770,46,25,0.0
2025-09-14 17:16:22.873,5949,45,25,0.0
2025-09-14 17:16:22.961,5949,45,25,0.0
2025-09-14 17:16:23.062,5949,50,25,0.0
2025-09-14 17:16:23.148,4997,51,25,0.0
2025-09-14 17:16:23.242,4997,51,25,0.0
2025-09-14 17:16:23.356,3547,52,25,0.0
2025-09-14 17:16:23.441,3547,52,25,0.0
2025-09-14 17:16:23.530,3744,53,25,0.0
2025-09-14 17:16:23.623,3744,55,25,0.0
2025-09-14 17:16:23.708,3830,55,25,0.0
2025-09-14 17:16:23.813,3830,56,25,0.0
2025-09-14 17:16:23.923,4011,59,25,0.0
2025-09-14 17:16:24.010,4011,59,25,0.0
2025-09-14 17:16:24.099,4156,60,25,0.0
2025-09-14 17:16:24.191,4156,61,25,0.0
2025-09-14 17:16:24.279,4319,62,25,0.0
2025-09-14 17:16:24.367,4319,63,25,0.0
2025-09-14 17:16:24.490,4471,64,25,0.0
2025-09-14 17:16:24.594,4471,65,25,0.0
2025-09-14 17:16:24.681,4707,67,25,0.0
2025-09-14 17:16:24.774,4707,67,25,0.0
2025-09-14 17:16:24.859,4788,68,25,0.0
2025-09-14 17:16:24.983,4788,70,25,0.0
2025-09-14 17:16:25.074,4884,70,25,0.0
2025-09-14 17:16:25.178,4884,71,25,0.0
2025-09-14 17:16:25.269,5002,72,25,0.0
2025-09-14 17:16:25.361,5002,73,25,0.0
2025-09-14 17:16:25.490,5002,74,25,0.0
2025-09-14 17:16:25.570,5137,76,25,0.0
2025-09-14 17:16:25.658,5266,76,25,0.0
2025-09-14 17:16:25.748,5266,77,25,0.0
2025-09-14 17:16:25.833,5266,77,25,0.0
2025-09-14 17:16:25.945,5378,78,25,0.0
2025-09-14 17:16:26.033,5378,79,25,0.0
2025-09-14 17:16:26.125,5489,79,25,0.0
2025-09-14 17:16:26.216,5489,81,25,0.0
2025-09-14 17:16:26.305,5600,81,25,0.0
2025-09-14 17:16:26.395,5600,82,25,0.0
2025-09-14 17:16:26.483,5702,82,25,0.0
2025-09-14 17:16:26.575,5702,83,25,0.0
2025-09-14 17:16:26.661,5800,83,25,0.0
2025-09-14 17:16:26.773,5800,85,25,0.0
2025-09-14 17:16:26.860,5901,85,25,0.0
2025-09-14 17:16:26.951,5901,86,25,0.0
2025-09-14 17:16:27.041,5901,85,25,0.0
2025-09-14 17:16:27.143,6287,85,25,0.0
2025-09-14 17:16:27.246,6287,85,25,0.0
2025-09-14 17:16:27.324,6194,87,25,0.0
2025-09-14 17:16:27.416,6194,87,25,0.0
2025-09-14 17:16:27.508,4858,88,25,0.0
2025-09-14 17:16:27.609,4858,89,25,0.0
2025-09-14 17:16:27.700,3667,89,25,0.0
2025-09-14 17:16:27.807,3667,90,25,0.0
2025-09-14 17:16:27.908,3781,90,25,0.0
2025-09-14 17:16:28.000,3781,91,25,0.0
2025-09-14 17:16:28.090,3883,91,25,0.0
2025-09-14 17:16:28.206,3883,93,25,0.0
2025-09-14 17:16:28.310,3937,94,25,0.0
2025-09-14 17:16:28.399,3937,94,25,0.0
2025-09-14 17:16:28.496,3978,95,25,0.0
2025-09-14 17:16:28.586,3978,95,25,0.0
2025-09-14 17:16:28.705,4033,96,25,0.0
2025-09-14 17:16:28.794,4033,96,25,0.0
2025-09-14 17:16:28.883,4106,98,25,0.0
2025-09-14 17:16:28.991,4106,98,25,0.0
2025-09-14 17:16:29.109,4153,98,25,0.0
2025-09-14 17:16:29.201,4153,99,25,0.0
2025-09-14 17:16:29.292,4194,100,25,0.0
2025-09-14 17:16:29.380,4194,100,25,0.0
