Timestamp,RPM,Speed_kmh,IAT_C,Fuel_LPH
2025-09-14 17:12:14.930,3662,5,25,0.0
2025-09-14 17:12:15.074,3329,5,25,0.0
2025-09-14 17:12:15.248,3329,11,25,0.0
2025-09-14 17:12:15.437,3532,27,25,0.0
2025-09-14 17:12:15.585,3650,32,25,0.0
2025-09-14 17:12:15.748,3650,30,25,0.0
2025-09-14 17:12:15.932,3594,27,25,0.0
2025-09-14 17:12:16.088,3177,26,25,0.0
2025-09-14 17:12:16.260,3212,28,25,0.0
2025-09-14 17:12:16.434,3728,31,25,0.0
2025-09-14 17:12:16.611,4176,36,25,0.0
2025-09-14 17:12:16.787,4610,38,25,0.0
2025-09-14 17:12:16.936,4610,40,25,0.0
2025-09-14 17:12:17.094,4610,43,25,0.0
2025-09-14 17:12:17.228,5271,44,25,0.0
2025-09-14 17:12:17.419,5629,44,25,0.0
2025-09-14 17:12:17.590,5524,45,25,0.0
2025-09-14 17:12:17.768,4910,48,25,0.0
2025-09-14 17:12:17.954,4910,49,25,0.0
2025-09-14 17:12:18.102,3526,51,25,0.0
2025-09-14 17:12:18.271,3659,51,25,0.0
2025-09-14 17:12:18.437,3735,56,25,0.0
2025-09-14 17:12:18.621,3735,58,25,0.0
2025-09-14 17:12:18.787,4095,60,25,0.0
2025-09-14 17:12:18.970,4273,63,25,0.0
2025-09-14 17:12:19.153,4273,65,25,0.0
2025-09-14 17:12:19.335,4421,66,25,0.0
2025-09-14 17:12:19.504,4575,69,25,0.0
2025-09-14 17:12:19.670,4713,70,25,0.0
2025-09-14 17:12:19.837,4854,72,25,0.0
2025-09-14 17:12:20.015,4995,74,25,0.0
2025-09-14 17:12:20.179,5137,75,25,0.0
2025-09-14 17:12:20.334,5137,77,25,0.0
2025-09-14 17:12:20.491,5265,78,25,0.0
2025-09-14 17:12:20.637,5393,79,25,0.0
2025-09-14 17:12:20.817,5501,81,25,0.0
2025-09-14 17:12:20.965,5614,82,25,0.0
2025-09-14 17:12:21.142,5614,83,25,0.0
2025-09-14 17:12:21.327,5726,85,25,0.0
2025-09-14 17:12:21.490,5820,86,25,0.0
2025-09-14 17:12:21.671,5929,87,25,0.0
2025-09-14 17:12:21.805,6036,88,25,0.0
2025-09-14 17:12:21.970,6221,88,25,0.0
2025-09-14 17:12:22.120,6221,87,25,0.0
2025-09-14 17:12:22.270,6368,90,25,0.0
2025-09-14 17:12:22.440,5032,91,25,0.0
2025-09-14 17:12:22.604,3723,92,25,0.0
2025-09-14 17:12:22.769,3912,93,25,0.0
2025-09-14 17:12:22.930,3912,94,25,0.0
2025-09-14 17:12:23.075,3974,95,25,0.0
2025-09-14 17:12:23.224,3974,96,25,0.0
2025-09-14 17:12:23.404,4060,97,25,0.0
2025-09-14 17:12:23.549,4115,98,25,0.0
2025-09-14 17:12:23.695,4115,99,25,0.0
2025-09-14 17:12:23.843,4173,100,25,0.0
